Unnamed: 0;Место;Пилот;Команда;Отставание/Сход;gp_ind
5193;7;78;3;+11.791;243
5194;8;60;15;+13.217;243
5195;9;57;48;+15.634;243
5196;10;106;15;+16.961;243
5197;11;1;3;+20.259;243
5198;12;17;31;+21.946;243
5199;13;40;1;+23.530;243
5200;14;77;30;+26.085;243
5201;15;146;2;+28.781;243
5202;16;153;17;+30.900;243
5203;17;64;17;+32.687;243
5204;18;93;1;+36.322;243
5205;19;83;37;+38.690;243
5206;20;115;5;+44.838;243
5207;1;127;37;Победитель;244
5208;2;144;31;+20.932;244
5209;3;17;31;+56.460;244
5210;4;32;2;+1 круг;244
5211;5;60;15;+1 круг;244
5212;6;1;3;+1 круг;244
5213;7;106;15;+1 круг;244
5214;8;83;37;+1 круг;244
5215;9;78;3;+1 круг;244
5216;10;77;30;+1 круг;244
5217;11;99;30;+1 круг;244
5218;12;115;5;+2 круга;244
5219;13;128;5;+2 круга;244
5220;14;40;1;+2 круга;244
5221;15;55;1;+2 круга;244
5222;16;57;48;+2 круга;244
5223;17;94;48;+3 круга;244
5224;18;153;17;+3 круга;244
5225;НК;146;2;DNF;244
5226;НК;64;17;DNF;244
5227;1;99;30;Победитель;245
5228;2;77;30;+1.747;245
5229;3;17;31;+4.921;245
5230;4;60;15;+7.309;245
5231;5;83;37;+8.723;245
5232;6;106;15;+10.535;245
5233;7;115;5;+15.804;245
5234;8;1;3;+17.201;245
5235;9;94;48;+19.742;245
5236;10;78;3;+20.868;245
5237;11;57;48;+23.743;245
5238;12;128;5;+24.621;245
5239;13;40;1;+27.216;245
5240;14;55;1;+29.769;245
5241;15;153;17;+51.088;245
5242;НК;64;17;DNF;245
5243;НК;144;31;DNF;245
5244;НК;127;37;DNF;245
5245;НК;32;2;DNF;245
5246;НК;146;2;Не стартовал;245
5247;1;144;31;Победитель;246
5248;2;127;37;+53.271;246
5249;3;106;15;+62.475;246
5250;4;99;30;+65.607;246
5251;5;17;31;+67.533;246
5252;6;1;3;+81.321;246
5253;7;77;30;+87.224;246
5254;8;93;1;+88.955;246
5255;9;83;37;+90.076;246
5256;10;94;48;+100.551;246
5257;11;115;5;+106.198;246
5258;12;128;5;+1 круг;246
5259;13;32;2;+1 круг;246
5260;14;78;3;+1 круг;246
5261;15;60;15;+1 круг;246
5262;16;40;1;+1 круг;246
5263;17;146;2;+1 круг;246
5264;18;64;17;+2 круга;246
5265;19;57;48;DNF;246
5266;НК;153;17;DNF;246
5267;1;17;31;Победитель;247
5268;2;127;37;+14.584;247
5269;3;83;37;+33.471;247
5270;4;60;15;+37.814;247
5271;5;144;31;+41.812;247
5272;6;32;2;+44.292;247
5273;7;77;30;+47.213;247
5274;8;106;15;+51.526;247
5275;9;115;5;+82.018;247
5276;10;78;3;+1 круг;247
5277;11;40;1;+1 круг;247
5278;12;93;1;+1 круг;247
5279;13;99;30;+1 круг;247
5280;14;146;2;+1 круг;247
5281;15;94;48;+1 круг;247
5282;16;1;3;+1 круг;247
5283;17;57;48;+1 круг;247
5284;18;128;5;+1 круг;247
5285;19;153;17;+2 круга;247
5286;20;64;17;+2 круга;247
5287;1;127;37;Победитель;248
5288;2;144;31;+1.333;248
5289;3;83;37;+42.223;248
5290;4;60;15;+52.246;248
5291;5;99;30;+76.854;248
5292;6;17;31;+80.128;248
5293;7;106;15;+83.545;248
5294;8;77;30;+84.395;248
5295;9;146;2;+1 круг;248
5296;10;128;5;+1 круг;248
5297;11;40;1;+1 круг;248
5298;12;115;5;+1 круг;248
5299;13;93;1;+1 круг;248
5300;14;94;48;+1 круг;248
5301;15;57;48;+1 круг;248
5302;16;153;17;+2 круга;248
5303;17;64;17;+2 круга;248
5304;НК;1;3;DNF;248
5305;НК;78;3;DNF;248
5306;НК;32;2;DNF;248
5307;1;127;37;Победитель;249
5308;2;144;31;+16.555;249
5309;3;83;37;+17.752;249
5310;4;32;2;+63.845;249
5311;5;60;15;+81.037;249
5312;6;106;15;+1 круг;249
5313;7;128;5;+1 круг;249
5314;8;93;1;+1 круг;249
5315;9;1;3;+1 круг;249
5316;10;77;30;+1 круг;249
5317;11;40;1;+1 круг;249
5318;12;99;30;+1 круг;249
5319;13;78;3;+1 круг;249
5320;14;115;5;+2 круга;249
5321;15;17;31;+2 круга;249
5322;16;94;48;+2 круга;249
5323;17;57;48;+2 круга;249
5324;18;64;17;+3 круга;249
5325;НК;153;17;DNF;249
5326;НК;146;2;DNF;249
5327;1;144;31;Победитель;250
5328;2;127;37;+10.496;250
5329;3;17;31;+13.576;250
5330;4;83;37;+39.940;250
5331;5;60;15;+49.517;250
5332;6;106;15;+51.820;250
5333;7;32;2;+1 круг;250
5334;8;78;3;+1 круг;250
5335;9;1;3;+1 круг;250
5336;10;77;30;+1 круг;250
5337;11;128;5;+1 круг;250
5338;12;93;1;+1 круг;250
5339;13;94;48;+1 круг;250
5340;14;40;1;+1 круг;250
5341;15;146;2;+1 круг;250
5342;16;57;48;+1 круг;250
5343;17;64;17;+2 круга;250
5344;18;153;17;+2 круга;250
5345;НК;99;30;DNF;250
5346;НК;115;5;DNF;250
5347;1;144;31;Победитель;251
5348;2;127;37;+25.743;251
5349;3;1;3;+59.457;251
5350;4;83;37;+62.306;251
5351;5;78;3;+80.570;251
5352;6;115;5;+81.274;251
5353;7;106;15;+81.911;251
5354;8;60;15;+83.126;251
5355;9;77;30;+1 круг;251
5356;10;128;5;+1 круг;251
5357;11;32;2;+1 круг;251
5358;12;99;30;+1 круг;251
5359;13;146;2;+1 круг;251
5360;14;93;1;+1 круг;251
5361;15;40;1;+1 круг;251
5362;16;153;17;+1 круг;251
5363;17;94;48;+2 круга;251
5364;18;64;17;+2 круга;251
5365;НК;57;48;DNF;251
5366;НК;17;31;DNF;251
5367;1;144;31;Победитель;252
5368;2;127;37;+21.825;252
5369;3;17;31;+27.531;252
5370;4;78;3;+27.633;252
5371;5;99;30;+40.121;252
5372;6;32;2;+41.613;252
5373;7;60;15;+44.475;252
5374;8;106;15;+46.606;252
5375;9;40;1;+58.505;252
5376;10;77;30;+61.358;252
5377;11;115;5;+77.212;252
5378;12;57;48;+83.249;252
5379;13;1;3;+1 круг;252
5380;14;146;2;+1 круг;252
5381;15;93;1;+1 круг;252
5382;НК;128;5;DNF;252
5383;НК;83;37;DNF;252
5384;НК;64;17;DNF;252
5385;НК;94;48;DNF;252
5386;НК;153;17;DNF;252
5387;1;127;37;Победитель;253
5388;2;144;31;+2.256;253
5389;3;106;15;+5.173;253
5390;4;146;2;+5.692;253
5391;5;32;2;+6.531;253
5392;6;17;31;+7.463;253
5393;7;77;30;+59.200;253
5394;8;1;3;+61.708;253
5395;9;78;3;+64.026;253
5396;10;60;15;+66.057;253
5397;11;128;5;+67.527;253
5398;12;99;30;+1 круг;253
5399;13;115;5;+1 круг;253
5400;14;153;17;+1 круг;253
5401;15;83;37;DNF;253
5402;НК;57;48;DNF;253
5403;НК;40;1;DNF;253
5404;НК;94;48;DNF;253
5405;НК;93;1;DNF;253
5406;НК;64;17;Не стартовал;253
5407;1;60;15;Победитель;254
5408;2;106;15;+5.598;254
5409;3;144;31;+9.675;254
5410;4;94;31;+11.211;254
5411;5;63;17;+14.754;254
5412;6;17;1;+16.119;254
5413;7;78;3;+19.423;254
5414;8;146;2;+20.386;254
5415;9;1;3;+22.390;254
5416;10;148;1;+23.064;254
5417;11;153;17;+32.574;254
5418;12;115;5;+45.873;254
5419;13;155;48;+53.932;254
5420;14;99;30;+54.975;254
5421;15;77;30;+56.335;254
5422;16;57;48;+61.795;254
5423;17;145;5;+63.829;254
5424;18;83;37;DNF;254
5425;19;127;37;DNF;254
5426;НК;32;2;DNF;254
5427;1;127;37;Победитель;255
5428;2;60;15;+0.549;255
5429;3;106;15;+8.097;255
5430;4;83;37;+10.800;255
5431;5;94;31;+32.732;255
5432;6;78;3;+56.017;255
5433;7;77;30;+56.124;255
5434;8;32;2;+62.946;255
5435;9;63;17;+64.308;255
5436;10;144;31;+73.948;255
5437;11;148;1;+82.215;255
5438;12;145;5;+91.742;255
5439;13;115;5;+1 круг;255
5440;14;155;48;сход;255
5441;НК;17;1;DNF;255
5442;НК;99;30;DNF;255
5443;НК;1;3;DNF;255
5444;НК;57;48;DNF;255
5445;НК;146;2;Не стартовал;255
5446;НК;153;17;Не стартовал;255
5447;1;60;15;Победитель;256
5448;2;83;37;+20.524;256
5449;3;94;31;+25.593;256
5450;4;144;31;+28.543;256
5451;5;77;30;+53.303;256
5452;6;99;30;+53.737;256
5453;7;78;3;+61.683;256
5454;8;17;1;+68.439;256
5455;9;32;2;+76.221;256
5456;10;155;48;+79.382;256
5457;11;148;1;+81.695;256
5458;12;115;5;+88.598;256
5459;13;153;17;+1 круг;256
5460;14;63;17;+1 круг;256
5461;15;146;2;+1 круг;256
5462;16;57;48;+1 круг;256
5463;17;1;3;+1 круг;256
5464;НК;106;15;DNF;256
5465;НК;128;5;DNF;256
5466;НК;127;37;DNF;256
5467;1;127;37;Победитель;257
5468;2;83;37;+16.527;257
5469;3;77;30;+34.834;257
5470;4;94;31;+42.506;257
5471;5;17;1;+43.181;257
5472;6;60;15;+56.072;257
5473;7;146;2;+61.110;257
5474;8;128;5;+70.892;257
5475;9;63;17;+75.260;257
5476;10;115;5;+1 круг;257
5477;11;78;3;+1 круг;257
5478;12;155;48;+1 круг;257
5479;13;32;2;+1 круг;257
5480;14;144;31;+1 круг;257
5481;15;148;1;+1 круг;257
5482;16;57;48;+1 круг;257
5483;17;153;17;+1 круг;257
5484;18;99;30;+1 круг;257
5485;НК;106;15;DNF;257
5486;НК;1;3;DNF;257
5487;1;127;37;Победитель;258
5488;2;60;15;+3.786;258
5489;3;106;15;+8.229;258
5490;4;83;37;+10.638;258
5491;5;94;31;+18.582;258
5492;6;144;31;+21.368;258
5493;7;17;1;+25.073;258
5494;8;78;3;+28.386;258
5495;9;155;48;+32.365;258
5496;10;115;5;+37.026;258
5497;11;1;3;+32.128;258
5498;12;146;2;+40.146;258
5499;13;99;30;+35.902;258
5500;14;57;48;+49.936;258
5501;15;153;17;+73.305;258
5502;16;63;17;DNF;258
5503;17;128;5;DNF;258
5504;НК;148;1;DNF;258
5505;НК;77;30;DNF;258
5506;НК;32;2;DNF;258
5507;1;127;37;Победитель;259
5508;2;83;37;+13.072;259
5509;3;94;31;+32.927;259
5510;4;106;15;+45.208;259
5511;5;144;31;+54.534;259
5512;6;17;1;+59.976;259
5513;7;78;3;+75.397;259
5514;8;77;30;+83.235;259
5515;9;1;3;+1 круг;259
5516;10;146;2;+1 круг;259
5517;11;128;5;+1 круг;259
5518;12;99;30;+1 круг;259
5519;13;32;2;+1 круг;259
5520;14;153;17;+1 круг;259
5521;15;115;5;+1 круг;259
5522;16;57;48;+2 круга;259
5523;17;63;17;+2 круга;259
5524;18;155;48;+2 круга;259
5525;НК;60;15;DNF;259
5526;НК;148;1;DNF;259
5527;1;83;37;Победитель;260
5528;2;106;15;+1.154;260
5529;3;127;37;+1.491;260
5530;4;60;15;+2.922;260
5531;5;94;31;+11.968;260
5532;6;77;30;+12.231;260
5533;7;1;3;+46.358;260
5534;8;144;31;+50.388;260
5535;9;17;1;+52.525;260
5536;10;128;5;+53.536;260
5537;11;32;2;+54.289;260
5538;12;78;3;+55.644;260
5539;13;99;30;+57.635;260
5540;14;115;5;+60.802;260
5541;15;57;48;+1 круг;260
5542;16;148;1;+1 круг;260
5543;17;146;2;+1 круг;260
5544;НК;63;17;DNF;260
5545;НК;153;17;DNF;260
5546;НК;155;48;DNF;260
5547;1;127;37;Победитель;261
5548;2;83;37;+20.823;261
5549;3;94;31;+45.995;261
5550;4;144;31;+71.679;261
5551;5;32;2;+77.299;261
5552;6;128;5;+84.099;261
5553;7;1;3;+88.596;261
5554;8;99;30;+92.207;261
5555;9;77;30;+92.556;261
5556;10;78;3;+108.184;261
5557;11;17;1;+1 круг;261
5558;12;155;48;+1 круг;261
5559;13;146;2;+1 круг;261
5560;14;153;17;+1 круг;261
5561;15;57;48;+1 круг;261
5562;НК;115;5;DNF;261
5563;НК;63;17;DNF;261
5564;НК;148;1;DNF;261
5565;НК;60;15;DNF;261
5566;НК;106;15;DNF;261
5567;1;127;37;Победитель;262
5568;2;106;15;+0.993;262
5569;3;144;31;+7.006;262
5570;4;94;31;+12.313;262
5571;5;60;15;+15.168;262
5572;6;78;3;+23.890;262
5573;7;17;1;+25.247;262
5574;8;148;1;+26.952;262
5575;9;1;3;+29.945;262
5576;10;115;5;+38.222;262
5577;11;99;30;+43.047;262
5578;12;128;5;+44.245;262
5579;13;155;48;+44.893;262
5580;14;32;2;+45.183;262
5581;15;77;30;+52.145;262
5582;16;57;48;+59.978;262
5583;17;63;17;+68.180;262
5584;НК;146;2;DNF;262
5585;НК;153;17;DNF;262
5586;НК;83;37;DNF;262
5587;1;106;15;Победитель;263
5588;2;83;37;+3.779;263
5589;3;144;31;+6.225;263
5590;4;60;15;+8.546;263
5591;5;1;3;+9.571;263
5592;6;77;30;+11.943;263
5593;7;127;37;+18.777;263
5594;8;153;17;+18.995;263
5595;9;128;5;+22.356;263
5596;10;63;17;+24.590;263
5597;11;115;5;+26.147;263
5598;12;57;48;+32.511;263
5599;13;99;30;+32.817;263
5600;14;146;2;+40.910;263
5601;НК;32;2;DNF;263
5602;НК;17;1;DNF;263
5603;НК;155;48;DNF;263
5604;НК;94;31;DNF;263
5605;НК;148;1;DNF;263
5606;НК;78;3;DNF;263
5607;1;60;15;Победитель;264
5608;2;127;37;+1.532;264
5609;3;144;31;+41.217;264
5610;4;94;31;+58.972;264
5611;5;78;3;+68.436;264
5612;6;153;17;+1 круг;264
5613;7;77;30;+1 круг;264
5614;8;63;17;+1 круг;264
5615;9;99;30;+1 круг;264
5616;10;1;3;+1 круг;264
5617;11;17;1;+1 круг;264
5618;12;155;48;+1 круг;264
5619;13;115;5;+1 круг;264
5620;14;148;1;+1 круг;264
5621;15;32;2;+1 круг;264
5622;16;146;2;+1 круг;264
5623;17;128;5;+1 круг;264
5624;НК;106;15;DNF;264
5625;НК;57;48;DNF;264
5626;НК;83;37;DNF;264
5627;1;127;37;Победитель;265
5628;2;144;31;+10.587;265
5629;3;94;31;+16.495;265
5630;4;83;37;+17.310;265
5631;5;106;15;+28.872;265
5632;6;1;3;+42.879;265
5633;7;77;30;+52.026;265
5634;8;78;3;+56.959;265
5635;9;99;30;+60.372;265
5636;10;115;5;+62.549;265
5637;11;128;5;+64.494;265
5638;12;32;2;+65.448;265
5639;13;155;48;+68.565;265
5640;14;17;1;+76.666;265
5641;15;153;17;+80.394;265
5642;НК;148;1;DNF;265
5643;НК;57;48;DNF;265
5644;НК;63;17;DNF;265
5645;НК;146;2;DNF;265
5646;НК;60;15;DNF;265
5647;1;127;37;Победитель;266
5648;2;144;31;+7.834;266
5649;3;94;31;+12.337;266
5650;4;106;15;+14.579;266
5651;5;83;37;+15.688;266
5652;6;60;15;+16.047;266
5653;7;77;30;+78.300;266
5654;8;1;3;+1 круг;266
5655;9;78;3;+1 круг;266
5656;10;128;5;+1 круг;266
5657;11;115;5;+1 круг;266
5658;12;32;2;+1 круг;266
5659;13;148;1;+1 круг;266
5660;14;153;17;+1 круг;266
5661;15;99;30;+1 круг;266
5662;16;63;17;+1 круг;266
5663;17;155;48;+1 круг;266
5664;18;57;48;+1 круг;266
5665;19;146;2;+2 круга;266
5666;20;17;1;+4 круга;266
5667;1;127;37;Победитель;267
5668;2;83;37;+17.841;267
5669;3;106;15;+26.886;267
5670;4;94;31;+29.140;267
5671;5;1;3;+73.256;267
5672;6;60;15;+69.936;267
5673;7;78;3;+75.640;267
5674;8;128;5;+78.107;267
5675;9;32;2;+92.181;267
5676;10;155;48;+102.304;267
5677;11;115;5;+103.184;267
5678;12;77;30;+104.887;267
5679;13;146;2;+105.429;267
5680;14;148;1;+106.463;267
5681;15;99;30;+106.829;267
5682;16;63;17;+1 круг;267
5683;17;153;17;+1 круг;267
5684;18;57;48;+1 круг;267
5685;НК;17;1;DNF;267
5686;НК;144;31;DNF;267
5687;1;127;37;Победитель;268
5688;2;94;31;+4.071;268
5689;3;60;15;+10.929;268
5690;4;144;31;+13.016;268
5691;5;83;37;+18.168;268
5692;6;1;3;+18.754;268
5693;7;77;30;+19.306;268
5694;8;106;15;+20.916;268
5695;9;78;3;+21.117;268
5696;10;115;5;+22.459;268
5697;11;32;2;+27.009;268
5698;12;155;48;+30.390;268
5699;13;153;17;+32.995;268
5700;14;128;5;+36.007;268
5701;15;63;17;+36.869;268
5702;16;148;1;+37.320;268
5703;17;99;30;+37.764;268
5704;18;57;48;+1 круг;268
5705;НК;17;1;DNF;268
5706;НК;146;2;DNF;268
5707;1;127;37;Победитель;269
5708;2;60;15;+2.446;269
5709;3;94;31;+3.405;269
5710;4;106;15;+5.061;269
5711;5;144;31;+5.380;269
5712;6;83;37;+6.091;269
5713;7;77;30;+6.207;269
5714;8;32;2;+6.396;269
5715;9;30;48;+7.122;269
5716;10;148;1;+7.910;269
5717;11;78;3;+8.323;269
5718;12;153;17;+8.549;269
5719;13;17;1;+1 круг;269
5720;14;146;2;+1 круг;269
5721;15;57;48;+1 круг;269
5722;16;63;17;+1 круг;269
5723;НК;99;30;DNF;269
5724;НК;115;5;DNF;269
5725;НК;1;3;DNF;269
5726;НК;128;5;DNF;269
5727;1;83;37;Победитель;270
5728;2;60;15;+7.595;270
5729;3;106;15;+15.305;270
5730;4;77;30;+26.133;270
5731;5;99;30;+58.282;270
5732;6;115;5;+61.330;270
5733;7;127;37;+63.825;270
5734;8;128;5;+65.032;270
5735;9;144;31;+66.515;270
5736;10;32;2;+74.576;270
5737;11;17;1;+93.844;270
5738;12;63;17;+97.610;270
5739;13;153;17;+1 круг;270
5740;14;94;31;+2 круга;270
5741;НК;146;2;DNF;270
5742;НК;78;3;DNF;270
5743;НК;155;48;DNF;270
5744;НК;1;3;DNF;270
5745;НК;57;48;DNF;270
5746;НК;148;1;DNF;270
5747;1;127;37;Победитель;271
5748;2;83;37;+27.066;271
5749;3;60;15;+31.763;271
5750;4;78;3;+39.685;271
5751;5;144;31;+40.326;271
5752;6;128;5;+46.358;271
5753;7;1;3;+46.369;271
5754;8;94;31;+47.661;271
5755;9;57;48;+70.143;271
5756;10;77;30;+70.782;271
5757;11;99;30;+72.877;271
5758;12;115;5;+73.904;271
5759;13;146;2;+75.599;271
5760;14;63;17;+86.016;271
5761;15;17;1;+86.496;271
5762;16;148;1;+87.043;271
5763;17;153;17;+92.523;271
5764;18;32;2;+108.091;271
5765;НК;106;15;DNF;271
5766;НК;155;48;DNF;271
5767;1;127;37;Победитель;272
5768;2;144;31;+5.023;272
5769;3;60;15;+7.501;272
5770;4;83;37;+8.293;272
5771;5;94;31;+44.815;272
5772;6;77;30;+53.785;272
5773;7;1;3;+55.078;272
5774;8;128;5;+65.354;272
5775;9;63;17;+65.834;272
5776;10;146;2;+70.919;272
5777;11;78;3;+72.875;272
5778;12;148;1;+76.164;272
5779;13;155;48;+80.057;272
5780;14;32;2;+81.763;272
5781;15;153;17;+84.490;272
5782;16;99;30;+90.487;272
5783;17;57;48;+103.588;272
5784;НК;115;5;DNF;272
5785;НК;17;1;DNF;272
5786;НК;106;15;DNF;272
5787;1;127;37;Победитель;273
5788;2;144;31;+15.186;273
5789;3;83;37;+18.097;273
5790;4;94;31;+49.431;273
5791;5;106;15;+58.123;273
5792;6;60;15;+68.774;273
5793;7;99;30;+1 круг;273
5794;8;78;3;+1 круг;273
5795;9;77;30;+1 круг;273
5796;10;17;1;+1 круг;273
5797;11;32;2;+1 круг;273
5798;12;155;48;+1 круг;273
5799;13;148;1;+1 круг;273
5800;14;128;5;+1 круг;273
5801;15;115;5;+1 круг;273
5802;16;153;17;+1 круг;273
5803;17;63;17;+1 круг;273
5804;18;57;48;+2 круга;273
5805;19;1;3;DNF;273
5806;НК;146;2;DNF;273
5807;1;94;31;Победитель;274
5808;2;144;31;+1.529;274
5809;3;106;15;+4.051;274
5810;4;60;15;+8.441;274
5811;5;1;3;+9.561;274
5812;6;127;37;+10.056;274
5813;7;83;37;+14.080;274
5814;8;78;3;+18.690;274
5815;9;17;1;+22.552;274
5816;10;115;5;+23.552;274
5817;11;128;5;+26.183;274
5818;12;32;2;+31.867;274
5819;13;148;1;+29.325;274
5820;14;153;17;+29.899;274
5821;15;155;48;+36.016;274
5822;16;57;48;+37.038;274
5823;17;146;2;+1 круг;274
5824;НК;77;30;DNF;274
5825;НК;63;17;DNF;274
5826;НК;99;30;DNF;274
5827;1;127;37;Победитель;275
5828;2;60;15;+8.771;275
5829;3;83;37;+10.093;275
5830;4;106;15;+24.892;275
5831;5;94;31;+35.888;275
5832;6;77;30;+56.234;275
5833;7;78;3;+57.240;275
5834;8;115;5;+76.931;275
5835;9;99;30;+83.268;275
5836;10;128;5;+83.898;275
5837;11;146;2;+89.371;275
5838;12;148;1;+1 круг;275
5839;13;155;48;+1 круг;275
5840;14;32;2;+1 круг;275
5841;15;17;1;+1 круг;275
5842;16;153;17;+1 круг;275
5843;17;63;17;+1 круг;275
5844;18;144;31;DNF;275
5845;19;57;48;DNF;275
5846;НК;1;3;DNF;275
