Unnamed: 0;Место;Пилот;Команда;Q1;Q2;Q3;gp_ind
1397;8;98;16;1:15.019;1:14.639;1:14.705;61
1398;9;151;31;1:14.892;1:14.480;1:14.812;61
1399;10;13;30;1:14.799;1:14.680;1:15.182;61
1400;11;52;39;1:15.101;1:14.688;-;61
1401;12;93;24;1:14.995;1:14.734;-;61
1402;13;145;16;1:15.106;1:14.748;-;61
1403;14;99;43;1:15.552;1:15.078;-;61
1404;15;83;39;1:15.326;1:15.156;-;61
1405;16;109;48;1:14.995;1:15.170;-;61
1406;17;66;48;1:14.979;1:15.231;-;61
1407;18;53;12;1:16.263;-;-;61
1408;19;85;12;1:16.482;-;-;61
1409;20;27;43;1:16.602;-;-;61
1410;21;102;20;1:17.492;-;-;61
1411;22;36;27;1:17.901;-;-;61
1412;23;87;27;1:18.255;-;-;61
1413;24;48;20;1:18.330;-;-;61
1414;1;128;37;1:39.626;1:38.530;1:38.086;62
1415;2;144;30;1:39.169;1:38.616;1:38.410;62
1416;3;66;48;1:38.825;1:38.570;1:38.475;62
1417;4;38;24;1:39.530;1:38.489;1:38.505;62
1418;5;93;24;1:39.464;1:38.531;1:38.513;62
1419;6;103;31;1:39.061;1:38.504;1:38.623;62
1420;7;52;39;1:39.651;1:38.703;1:38.741;62
1421;8;145;16;1:39.009;1:38.689;1:38.752;62
1422;9;13;30;1:39.622;1:38.563;1:38.801;62
1423;10;98;16;1:38.858;1:38.519;1:38.992;62
1424;11;1;15;1:39.409;1:38.707;-;62
1425;12;151;31;1:39.447;1:38.770;-;62
1426;13;68;15;1:39.388;1:38.780;-;62
1427;14;109;48;1:39.449;1:39.207;-;62
1428;15;83;39;1:39.353;1:39.358;-;62
1429;16;53;12;1:40.087;1:40.295;-;62
1430;17;99;43;1:39.924;1:40.358;-;62
1431;18;27;43;1:40.203;-;-;62
1432;19;124;37;1:40.395;-;-;62
1433;20;85;12;1:40.457;-;-;62
1434;21;102;20;1:42.171;-;-;62
1435;22;48;20;1:42.527;-;-;62
1436;23;87;27;1:42.675;-;-;62
1437;24;36;27;БВ;-;-;62
1438;1;1;15;1:46.515;1:56.921;1:51.746;63
1439;2;124;37;1:47.276;1:55.898;1:51.793;63
1440;3;151;31;1:46.571;1:55.799;1:52.020;63
1441;4;128;37;1:46.279;1:56.931;1:52.199;63
1442;5;68;15;1:47.401;1:56.388;1:53.065;63
1443;6;93;24;1:47.309;1:56.469;1:53.290;63
1444;7;66;48;1:46.449;1:56.802;1:53.539;63
1445;8;144;30;1:47.433;1:54.897;1:53.543;63
1446;9;145;16;1:46.334;1:56.556;1:54.382;63
1447;10;38;24;1:47.043;1:57.338;БВ;63
1448;11;98;16;1:47.582;1:57.009;-;63
1449;12;52;39;1:46.649;1:57.071;-;63
1450;13;103;31;1:47.724;1:57.108;-;63
1451;14;99;43;1:47.266;1:57.132;-;63
1452;15;109;48;1:47.105;1:57.426;-;63
1453;16;27;43;1:47.705;1:57.719;-;63
1454;17;83;39;1:46.494;1:57.895;-;63
1455;18;13;30;1:48.044;-;-;63
1456;19;85;12;1:49.027;-;-;63
1457;20;53;12;1:49.477;-;-;63
1458;21;36;27;1:51.618;-;-;63
1459;22;102;20;1:52.742;-;-;63
1460;23;48;20;1:53.040;-;-;63
1461;1;1;15;1:16.073;1:38.521;1:40.621;64
1462;2;128;37;1:16.393;1:38.309;1:41.026;64
1463;3;124;37;1:16.500;1:39.382;1:41.496;64
1464;4;151;31;1:16.686;1:38.010;1:42.459;64
1465;5;145;16;1:16.271;1:39.467;1:43.501;64
1466;6;66;48;1:16.181;1:38.731;1:43.950;64
1467;7;13;30;1:16.507;1:38.659;1:44.113;64
1468;8;144;30;1:16.221;1:37.365;1:44.186;64
1469;9;98;16;1:16.352;1:39.703;1:44.889;64
1470;10;93;24;1:15.693;1:39.729;1:45.811;64
1471;11;99;43;1:16.516;1:39.789;-;64
1472;12;83;39;1:15.726;1:39.933;-;64
1473;13;52;39;1:16.481;1:39.985;-;64
1474;14;68;15;1:16.265;1:40.212;-;64
1475;15;38;24;1:16.685;1:40.574;-;64
1476;16;109;48;1:16.426;1:40.752;-;64
1477;17;103;31;1:15.988;1:41.551;-;64
1478;18;27;43;1:16.741;-;-;64
1479;19;53;12;1:17.620;-;-;64
1480;20;85;12;1:18.531;-;-;64
1481;21;87;27;1:19.220;-;-;64
1482;22;36;27;1:19.291;-;-;64
1483;23;102;20;1:19.912;-;-;64
1484;24;48;20;1:20.230;-;-;64
1485;1;144;30;1:21.794;1:21.060;1:20.953;65
1486;2;38;24;1:22.755;1:21.657;1:21.366;65
1487;3;128;37;1:22.948;1:21.407;1:21.416;65
1488;4;13;30;1:22.028;1:21.618;1:21.583;65
1489;5;93;24;1:22.234;1:21.583;1:21.730;65
1490;6;1;15;1:22.095;1:21.598;1:21.844;65
1491;7;68;15;1:22.203;1:21.534;1:21.900;65
1492;8;66;48;1:22.475;1:21.504;1:21.939;65
1493;9;109;48;1:22.271;1:21.697;1:22.343;65
1494;10;145;16;1:22.176;1:21.653;1:22.847;65
1495;11;124;37;1:22.829;1:21.715;-;65
1496;12;98;16;1:21.912;1:21.813;-;65
1497;13;103;31;1:22.079;1:21.895;-;65
1498;14;83;39;1:22.110;1:21.895;-;65
1499;15;52;39;1:22.801;1:22.300;-;65
1500;16;27;43;1:22.799;1:22.380;-;65
1501;17;151;31;1:22.436;1:22.723;-;65
1502;18;99;43;1:23.250;-;-;65
1503;19;53;12;1:23.576;-;-;65
1504;20;85;12;1:24.167;-;-;65
1505;21;87;27;1:25.244;-;-;65
1506;22;36;27;1:25.476;-;-;65
1507;23;102;20;1:25.916;-;-;65
1508;24;48;20;1:26.178;-;-;65
1509;1;13;30;1:49.250;1:47.654;1:47.573;66
1510;2;52;39;1:48.686;1:48.569;1:47.871;66
1511;3;66;48;1:48.993;1:48.780;1:47.893;66
1512;4;93;24;1:49.546;1:48.414;1:48.205;66
1513;5;83;39;1:49.642;1:47.980;1:48.219;66
1514;6;1;15;1:49.401;1:48.598;1:48.313;66
1515;7;124;37;1:49.859;1:48.546;1:48.392;66
1516;8;144;30;1:49.605;1:48.563;1:48.394;66
1517;9;38;24;1:50.126;1:48.714;1:48.538;66
1518;10;98;16;1:50.033;1:48.729;1:48.890;66
1519;11;128;37;1:49.722;1:48.792;-;66
1520;12;145;16;1:49.362;1:48.855;-;66
1521;13;151;31;1:49.742;1:49.081;-;66
1522;14;68;15;1:49.588;1:49.147;-;66
1523;15;27;43;1:49.763;1:49.354;-;66
1524;16;99;43;1:49.572;1:49.543;-;66
1525;17;109;48;1:49.958;1:50.088;-;66
1526;18;103;31;1:50.181;-;-;66
1527;19;53;12;1:51.739;-;-;66
1528;20;85;12;1:51.967;-;-;66
1529;21;36;27;1:52.336;-;-;66
1530;22;102;20;1:53.030;-;-;66
1531;23;87;27;1:53.493;-;-;66
1532;24;48;20;1:54.989;-;-;66
1533;1;144;30;1:24.211;1:24.394;1:24.010;67
1534;2;13;30;1:24.672;1:24.255;1:24.133;67
1535;3;68;15;1:24.882;1:24.505;1:24.247;67
1536;4;98;16;1:24.875;1:24.345;1:24.304;67
1537;5;151;31;1:25.302;1:24.675;1:24.540;67
1538;6;128;37;1:25.011;1:24.687;1:24.802;67
1539;7;103;31;1:24.689;1:24.515;1:24.833;67
1540;8;93;24;1:25.151;1:24.742;1:24.855;67
1541;9;52;39;1:25.317;1:24.683;1:25.109;67
1542;10;1;15;1:24.175;1:24.242;1:25.678;67
1543;11;124;37;1:25.556;1:24.809;-;67
1544;12;66;48;1:25.103;1:24.820;-;67
1545;13;83;39;1:25.300;1:24.901;-;67
1546;14;109;48;1:25.135;1:25.042;-;67
1547;15;99;43;1:25.728;1:25.312;-;67
1548;16;4;24;1:25.838;1:25.408;-;67
1549;17;27;43;1:25.649;1:25.441;-;67
1550;18;53;12;1:26.382;-;-;67
1551;19;85;12;1:26.887;-;-;67
1552;20;36;27;1:27.039;-;-;67
1553;21;87;27;1:27.073;-;-;67
1554;22;48;20;1:27.441;-;-;67
1555;23;102;20;1:27.629;-;-;67
1556;24;145;16;БВ;-;-;67
1557;1;144;30;1:48.285;1:46.665;1:46.362;68
1558;2;66;48;1:49.494;1:47.602;1:46.804;68
1559;3;128;37;1:48.240;1:46.791;1:46.905;68
1560;4;13;30;1:49.381;1:47.661;1:46.939;68
1561;5;1;15;1:49.391;1:47.567;1:47.216;68
1562;6;98;16;1:48.028;1:47.667;1:47.241;68
1563;7;124;37;1:47.717;1:47.513;1:47.475;68
1564;8;38;24;1:49.688;1:47.529;1:47.788;68
1565;9;151;31;1:49.546;1:47.823;БВ;68
1566;10;103;31;1:49.463;1:47.943;БВ;68
1567;11;145;16;1:49.547;1:47.975;-;68
1568;12;93;24;1:48.169;1:48.261;-;68
1569;13;68;15;1:49.767;1:48.344;-;68
1570;14;83;39;1:49.055;1:48.505;-;68
1571;15;99;43;1:49.023;1:48.774;-;68
1572;16;27;43;1:49.564;1:48.849;-;68
1573;17;109;48;1:49.809;БВ;-;68
1574;18;52;39;1:49.933;-;-;68
1575;19;85;12;1:50.846;-;-;68
1576;20;53;12;1:51.137;-;-;68
1577;21;36;27;1:51.370;-;-;68
1578;22;87;27;1:51.762;-;-;68
1579;23;48;20;1:52.372;-;-;68
1580;24;102;20;1:53.355;-;-;68
1581;1;128;37;1:32.608;1:31.501;1:30.839;69
1582;2;124;37;1:32.951;1:31.950;1:31.090;69
1583;3;13;30;1:33.077;1:31.772;1:31.290;69
1584;4;52;39;1:32.042;1:31.886;1:31.700;69
1585;5;38;24;1:32.029;1:31.988;1:31.898;69
1586;6;83;39;1:32.147;1:32.169;1:32.022;69
1587;7;1;15;1:32.459;1:31.833;1:32.114;69
1588;8;93;24;1:32.221;1:31.826;1:32.208;69
1589;9;144;30;1:33.061;1:32.121;1:32.327;69
1590;10;145;16;1:32.828;1:32.272;БВ;69
1591;11;68;15;1:32.946;1:32.293;-;69
1592;12;98;16;1:32.898;1:32.327;-;69
1593;13;151;31;1:33.349;1:32.469;-;69
1594;14;66;48;1:32.834;1:32.512;-;69
1595;15;103;31;1:33.015;1:32.625;-;69
1596;16;99;43;1:33.059;1:32.954;-;69
1597;17;27;43;1:33.370;1:33.368;-;69
1598;18;109;48;1:33.405;-;-;69
1599;19;53;12;1:34.657;-;-;69
1600;20;36;27;1:35.213;-;-;69
1601;21;102;20;1:35.385;-;-;69
1602;22;87;27;1:35.429;-;-;69
1603;23;85;12;1:35.432;-;-;69
1604;24;48;20;1:36.734;-;-;69
1605;1;124;37;1:38.397;1:38.220;1:37.242;70
1606;2;128;37;1:38.208;1:37.767;1:37.316;70
1607;3;144;30;1:39.180;1:38.000;1:37.469;70
1608;4;1;15;1:39.144;1:37.987;1:37.534;70
1609;5;93;24;1:38.887;1:38.227;1:37.625;70
1610;6;68;15;1:38.937;1:38.253;1:37.884;70
1611;7;38;24;1:38.863;1:38.275;1:37.934;70
1612;8;145;16;1:38.981;1:38.428;1:38.266;70
1613;9;103;31;1:38.999;1:38.417;1:38.361;70
1614;10;151;31;1:38.808;1:38.436;1:38.513;70
1615;11;13;30;1:38.615;1:38.441;-;70
1616;12;83;39;1:38.630;1:38.460;-;70
1617;13;52;39;1:38.719;1:38.594;-;70
1618;14;98;16;1:38.942;1:38.643;-;70
1619;15;66;48;1:39.024;1:38.725;-;70
1620;16;99;43;1:38.784;1:39.084;-;70
1621;17;27;43;1:38.744;1:39.340;-;70
1622;18;109;48;1:39.443;-;-;70
1623;19;85;12;1:40.207;-;-;70
1624;20;53;12;1:40.333;-;-;70
1625;21;87;27;1:41.317;-;-;70
1626;22;36;27;1:41.371;-;-;70
1627;23;102;20;1:42.881;-;-;70
1628;24;48;20;БВ;-;-;70
1629;1;128;37;1:26.387;1:25.435;1:25.283;71
1630;2;124;37;1:26.744;1:25.610;1:25.327;71
1631;3;144;30;1:26.516;1:25.816;1:25.544;71
1632;4;13;30;1:26.564;1:25.467;1:25.659;71
1633;5;1;15;1:26.829;1:25.834;1:25.773;71
1634;6;68;15;1:26.939;1:26.111;1:25.857;71
1635;7;93;24;1:26.740;1:26.101;1:26.236;71
1636;8;83;39;1:27.179;1:26.076;1:26.360;71
1637;9;66;48;1:26.048;1:25.983;1:26.713;71
1638;10;103;31;1:26.458;1:25.976;БВ;71
1639;11;38;24;1:26.897;1:26.136;-;71
1640;12;145;16;1:27.185;1:26.241;-;71
1641;13;109;48;1:26.851;1:26.331;-;71
1642;14;151;31;1:27.482;1:26.574;-;71
1643;15;99;43;1:27.006;1:26.777;-;71
1644;16;98;16;1:27.462;1:26.989;-;71
1645;17;52;39;1:27.517;1:27.219;-;71
1646;18;27;43;1:27.525;-;-;71
1647;19;85;12;1:28.756;-;-;71
1648;20;53;12;1:29.500;-;-;71
1649;21;36;27;1:29.613;-;-;71
1650;22;102;20;1:30.592;-;-;71
1651;23;48;20;1:30.593;-;-;71
1652;24;87;27;1:30.662;-;-;71
1653;1;144;30;1:41.497;1:40.901;1:40.630;72
1654;2;124;37;1:41.933;1:41.277;1:40.978;72
1655;3;128;37;1:42.160;1:41.511;1:41.073;72
1656;4;66;48;1:41.981;1:41.907;1:41.226;72
1657;5;93;24;1:42.222;1:41.532;1:41.260;72
1658;6;13;30;1:42.342;1:41.873;1:41.290;72
1659;7;1;15;1:41.939;1:41.514;1:41.582;72
1660;8;103;31;1:41.926;1:41.698;1:41.603;72
1661;9;68;15;1:41.974;1:41.846;1:41.723;72
1662;10;38;24;1:42.046;1:41.620;1:41.778;72
1663;11;145;16;1:42.579;1:42.019;-;72
1664;12;83;39;1:42.624;1:42.084;-;72
1665;13;98;16;1:42.572;1:42.218;-;72
1666;14;151;31;1:42.735;1:42.289;-;72
1667;15;109;48;1:43.298;1:42.330;-;72
1668;16;52;39;1:43.582;1:42.606;-;72
1669;17;99;43;1:43.280;1:42.765;-;72
1670;18;27;43;1:44.058;-;-;72
1671;19;53;12;1:44.956;-;-;72
1672;20;87;27;1:45.089;-;-;72
1673;21;85;12;1:45.151;-;-;72
1674;22;36;27;1:45.426;-;-;72
1675;23;102;20;1:45.766;-;-;72
1676;24;48;20;1:46.382;-;-;72
1677;1;128;37;1:36.558;1:35.796;1:35.657;73
1678;2;144;30;1:37.058;1:36.795;1:35.766;73
1679;3;124;37;1:37.215;1:36.298;1:36.174;73
1680;4;38;24;1:37.486;1:36.906;1:36.587;73
1681;5;93;24;1:38.051;1:37.404;1:36.708;73
1682;6;151;31;1:37.927;1:37.102;1:36.794;73
1683;7;68;15;1:37.667;1:36.549;1:36.937;73
1684;8;145;16;1:37.756;1:37.066;1:37.141;73
1685;9;1;15;1:37.968;1:37.123;1:37.300;73
1686;10;66;48;1:37.537;1:37.011;1:37.842;73
1687;11;109;48;1:37.520;1:37.604;-;73
1688;12;13;30;1:37.565;1:37.616;-;73
1689;13;98;16;1:38.104;1:37.665;-;73
1690;14;27;43;1:38.434;1:37.879;-;73
1691;15;83;39;1:38.500;1:38.206;-;73
1692;16;52;39;1:38.418;1:38.437;-;73
1693;17;103;31;1:38.862;1:38.501;-;73
1694;18;99;43;1:39.114;-;-;73
1695;19;36;27;1:40.056;-;-;73
1696;20;87;27;1:40.664;-;-;73
1697;21;85;12;1:40.809;-;-;73
1698;22;53;12;1:41.166;-;-;73
1699;23;102;20;1:42.011;-;-;73
1700;24;48;20;1:42.740;-;-;73
1701;1;144;30;1:15.075;1:13.398;1:12.458;74
1702;2;13;30;1:15.456;1:13.515;1:12.513;74
1703;3;124;37;1:16.180;1:13.667;1:12.581;74
1704;4;128;37;1:15.644;1:13.209;1:12.760;74
1705;5;68;15;1:16.263;1:14.048;1:12.987;74
1706;6;66;48;1:16.266;1:13.698;1:13.174;74
1707;7;145;16;1:15.536;1:13.704;1:13.206;74
1708;8;1;15;1:16.097;1:13.856;1:13.253;74
1709;9;93;24;1:16.432;1:13.698;1:13.298;74
1710;10;103;31;1:15.929;1:13.848;1:13.489;74
1711;11;98;16;1:15.901;1:14.121;-;74
1712;12;109;48;1:15.333;1:14.219;-;74
1713;13;83;39;1:15.974;1:14.234;-;74
1714;14;151;31;1:16.005;1:14.334;-;74
1715;15;52;39;1:16.400;1:14.380;-;74
1716;16;99;43;1:16.744;1:14.574;-;74
1717;17;27;43;1:16.722;1:14.619;-;74
1718;18;38;24;1:16.967;-;-;74
1719;19;85;12;1:17.073;-;-;74
1720;20;53;12;1:17.086;-;-;74
1721;21;36;27;1:17.508;-;-;74
1722;22;87;27;1:18.104;-;-;74
1723;23;48;20;1:19.576;-;-;74
1724;24;102;20;1:19.699;-;-;74
1725;1;128;37;1:44.657;1:36.745;1:27.407;75
1726;2;124;37;1:44.472;1:36.524;1:27.827;75
1727;3;144;31;1:45.456;1:36.625;1:28.087;75
1728;4;68;15;1:44.635;1:36.666;1:28.490;75
1729;5;1;15;1:43.850;1:36.691;1:28.493;75
1730;6;103;31;1:43.380;1:36.194;1:28.523;75
1731;7;93;24;1:45.545;1:37.517;1:28.738;75
1732;8;38;24;1:44.284;1:37.641;1:29.013;75
1733;9;98;16;1:45.601;1:36.901;1:29.305;75
1734;10;13;30;1:44.688;1:36.644;1:30.357;75
1735;11;145;39;1:45.930;1:38.067;-;75
1736;12;117;16;1:47.330;1:38.134;-;75
1737;13;27;43;1:44.871;1:38.778;-;75
1738;14;99;43;1:46.450;1:39.042;-;75
1739;15;83;30;1:44.300;1:39.900;-;75
1740;16;17;48;1:47.328;1:40.290;-;75
1741;17;66;48;1:47.614;-;-;75
1742;18;39;39;1:47.776;-;-;75
1743;19;24;27;1:48.147;-;-;75
1744;20;149;27;1:48.909;-;-;75
1745;21;31;12;1:49.519;-;-;75
1746;1;128;37;1:37.899;1:37.245;1:49.674;76
1747;2;68;15;1:37.712;1:36.874;1:50.587;76
1748;3;1;15;1:37.314;1:36.877;1:50.727;76
1749;4;144;31;1:37.513;1:36.517;1:51.699;76
1750;5;124;37;1:37.619;1:36.449;1:52.244;76
1751;6;103;31;1:37.239;1:36.190;1:52.519;76
1752;7;93;24;1:36.959;1:36.640;1:52.970;76
1753;8;13;30;1:37.487;1:37.117;1:53.175;76
1754;9;117;16;1:36.809;1:36.834;1:53.439;76
1755;10;83;30;1:37.702;1:37.342;1:54.136;76
1756;11;38;24;1:37.363;1:37.636;-;76
1757;12;145;39;1:37.931;1:38.125;-;76
1758;13;99;43;1:37.722;1:38.822;-;76
1759;14;39;39;1:37.707;1:39.221;-;76
1760;15;98;16;1:37.493;1:44.509;-;76
1761;16;66;48;1:37.867;БВ;-;76
1762;17;27;43;1:38.157;-;-;76
1763;18;17;48;1:38.207;-;-;76
1764;19;24;27;1:38.434;-;-;76
1765;20;87;12;1:39.314;-;-;76
1766;21;149;27;1:39.672;-;-;76
1767;22;31;12;1:39.932;-;-;76
1768;1;144;31;1:35.793;1:35.078;1:34.484;77
1769;2;93;24;1:37.046;1:35.659;1:34.761;77
1770;3;1;15;1:36.253;1:35.148;1:34.788;77
1771;4;103;31;1:35.959;1:35.537;1:34.861;77
1772;5;68;15;1:35.972;1:35.403;1:34.933;77
1773;6;38;24;1:36.929;1:36.065;1:35.364;77
1774;7;99;43;1:36.993;1:36.258;1:35.998;77
1775;8;13;30;1:36.667;1:35.784;2:05.673;77
1776;9;128;37;1:36.537;1:35.343;БВ;77
1777;10;145;39;1:36.985;1:36.261;БВ;77
1778;11;98;16;1:37.478;1:36.287;-;77
1779;12;83;30;1:36.952;1:36.314;-;77
1780;13;117;16;1:37.349;1:36.405;-;77
1781;14;124;37;1:36.148;1:36.679;-;77
1782;15;66;48;1:37.281;1:37.139;-;77
1783;16;27;43;1:37.508;1:37.199;-;77
1784;17;17;48;1:37.769;-;-;77
1785;18;39;39;1:37.990;-;-;77
1786;19;24;27;1:38.780;-;-;77
1787;20;149;27;1:39.537;-;-;77
1788;21;87;12;1:39.614;-;-;77
1789;22;31;12;1:39.660;-;-;77
1790;1;103;31;1:33.364;1:32.867;1:32.330;78
1791;2;128;37;1:33.327;1:32.746;1:32.584;78
1792;3;1;15;1:32.878;1:33.316;1:32.667;78
1793;4;144;31;1:33.498;1:33.346;1:32.762;78
1794;5;124;37;1:33.966;1:33.098;1:33.078;78
1795;6;68;15;1:33.780;1:33.358;1:33.207;78
1796;7;98;16;1:33.762;1:33.335;1:33.235;78
1797;8;117;16;1:34.048;1:33.378;1:33.246;78
1798;9;93;24;1:33.827;1:33.146;1:33.327;78
1799;10;13;30;1:34.071;1:33.702;БВ;78
1800;11;38;24;1:33.498;1:33.762;-;78
1801;12;83;30;1:34.310;1:33.914;-;78
1802;13;99;43;1:34.120;1:33.974;-;78
1803;14;145;39;1:34.409;1:33.976;-;78
1804;15;17;48;1:34.425;1:34.105;-;78
1805;16;27;43;1:34.314;1:34.284;-;78
1806;17;66;48;1:34.425;-;-;78
1807;18;39;39;1:34.730;-;-;78
1808;19;87;12;1:35.283;-;-;78
1809;20;24;27;1:36.178;-;-;78
1810;21;31;12;1:36.304;-;-;78
1811;22;149;27;1:36.476;-;-;78
1812;1;103;31;1:21.913;1:21.776;1:20.718;79
1813;2;144;31;1:21.728;1:21.001;1:20.972;79
1814;3;128;37;1:22.158;1:21.602;1:21.054;79
1815;4;93;24;1:22.210;1:21.676;1:21.177;79
1816;5;1;15;1:22.264;1:21.646;1:21.218;79
1817;6;68;15;1:22.492;1:21.978;1:21.219;79
1818;7;38;24;1:22.613;1:21.998;1:21.308;79
1819;8;124;37;1:22.342;1:21.718;1:21.570;79
1820;9;83;30;1:23.116;1:21.790;1:22.069;79
1821;10;98;16;1:22.663;1:22.019;1:22.233;79
1822;11;99;43;1:22.905;1:22.127;-;79
1823;12;27;43;1:22.775;1:22.166;-;79
1824;13;117;16;1:22.952;1:22.346;-;79
1825;14;13;30;1:23.166;1:22.355;-;79
1826;15;145;39;1:23.058;1:22.389;-;79
1827;16;39;39;1:23.218;1:22.793;-;79
1828;17;17;48;1:23.260;-;-;79
1829;18;66;48;1:23.318;-;-;79
1830;19;31;12;1:24.661;-;-;79
1831;20;24;27;1:24.713;-;-;79
1832;21;149;27;1:24.996;-;-;79
1833;22;87;12;1:25.070;-;-;79
1834;1;103;31;1:24.620;1:16.135;1:13.876;80
1835;2;144;31;1:23.779;1:16.265;1:13.967;80
1836;3;128;37;1:24.243;1:15.988;1:13.980;80
1837;4;124;37;1:25.352;1:17.322;1:14.181;80
1838;5;93;24;1:25.835;1:16.040;1:14.822;80
1839;6;1;15;1:23.712;1:16.510;1:14.824;80
1840;7;83;30;1:24.682;1:17.748;1:15.138;80
1841;8;117;16;1:25.108;1:17.261;1:15.383;80
1842;9;13;30;1:23.744;1:17.420;1:15.647;80
1843;10;27;43;1:23.699;1:17.623;1:15.703;80
1844;11;145;39;1:25.547;1:18.331;-;80
1845;12;99;43;1:24.852;1:18.344;-;80
1846;13;38;24;1:23.738;1:18.603;-;80
1847;14;17;48;1:24.681;1:19.077;-;80
1848;15;31;12;1:26.095;1:19.408;-;80
1849;16;66;48;1:23.452;1:21.688;-;80
1850;17;98;16;1:26.322;-;-;80
1851;18;87;12;1:26.633;-;-;80
1852;19;39;39;1:26.917;-;-;80
1853;20;149;27;1:27.303;-;-;80
1854;1;128;37;1:22.318;1:28.166;1:25.425;81
1855;2;144;31;1:23.801;1:27.649;1:25.512;81
1856;3;17;48;1:23.446;1:28.419;1:25.897;81
1857;4;103;31;1:23.840;1:28.420;1:26.008;81
1858;5;124;37;1:23.247;1:28.145;1:26.208;81
1859;6;1;15;1:23.224;1:28.788;1:26.504;81
1860;7;27;43;1:24.159;1:28.527;1:26.543;81
1861;8;117;16;1:24.551;1:28.799;1:27.348;81
1862;9;93;24;1:24451;1:28.667;1:27.432;81
1863;10;99;43;1:24.770;1:29.359;1:27.946;81
1864;11;145;39;1:23.899;1:29.435;-;81
1865;12;83;30;1:24.176;1:29.761;-;81
1866;13;66;48;1:24.776;1:29.917;-;81
1867;14;13;30;1:24.021;1:30.068;-;81
1868;15;39;39;1:24.408;1:30.315;-;81
1869;16;68;15;1:23.735;1:30.354;-;81
1870;17;98;16;1:24.908;-;-;81
1871;18;87;12;1:25.626;-;-;81
1872;19;38;24;1:25.716;-;-;81
1873;20;24;27;1:26.508;-;-;81
1874;21;149;27;1:27.062;-;-;81
1875;22;31;12;1:27.110;-;-;81
1876;1;144;31;1:30.995;1:31.224;1:29.607;82
1877;2;103;31;1:31.355;1:31.028;1:30.059;82
1878;3;128;37;1:31.559;1:30.990;1:30.211;82
1879;4;124;37;1:31.605;1:31.002;1:30.220;82
1880;5;98;16;1:32.062;1:31.291;1:30.736;82
1881;6;99;43;1:32.097;1:31.182;1:30.757;82
1882;7;117;16;1:32.002;1:31.097;1:30.908;82
1883;8;38;24;1:31.466;1:31.530;1:30.955;82
1884;9;93;24;1:31.400;1:31.592;1:30.962;82
1885;10;1;15;1:32.266;1:31.387;1:30.979;82
1886;11;13;30;1:31.979;1:31.649;-;82
1887;12;68;15;1:32.241;1:31.779;-;82
1888;13;27;43;1:32.105;1:31.785;-;82
1889;14;83;30;1:31.953;1:32.082;-;82
1890;15;145;39;1:32.168;1:32.211;-;82
1891;16;66;48;1:32.512;1:32.359;-;82
1892;17;17;48;1:32.664;-;-;82
1893;18;39;39;1:32.666;-;-;82
1894;19;87;12;1:33.866;-;-;82
1895;20;24;27;1:34.108;-;-;82
1896;21;31;12;1:35.481;-;-;82
1897;22;149;27;1:35.858;-;-;82
1898;1;144;31;1:31.131;1:30.152;1:29.398;83
1899;2;128;37;1:31.269;1:29.992;1:29.501;83
1900;3;124;37;1:31.428;1:30.217;1:29.608;83
1901;4;93;24;1:30.676;1:29.852;1:29.892;83
1902;5;38;24;1:31.242;1:30.005;1:29.959;83
1903;6;99;43;1:31.081;1:30.223;1:30.528;83
1904;7;68;15;1:30.547;1:29.825;1:31.126;83
1905;8;1;15;1:30.709;1:29.962;1:31.209;83
1906;9;13;30;1:31.181;1:30.269;БВ;83
1907;10;145;39;1:31.132;1:30.231;БВ;83
1908;11;103;31;1:31.322;1:30.326;-;83
1909;12;98;16;1:31.322;1:30.697;-;83
1910;13;83;30;1:31.498;1:30.933;-;83
1911;14;39;39;1:31.681;1:31.010;-;83
1912;15;117;16;1:31.320;1:31.010;-;83
1913;16;27;43;1:31.629;1:31.104;-;83
1914;17;17;48;1:31.693;-;-;83
1915;18;66;48;1:31.707;-;-;83
1916;19;87;12;1:32.937;-;-;83
1917;20;24;27;1:33.063;-;-;83
1918;21;31;12;1:33.734;-;-;83
1919;22;149;27;1:34.098;-;-;83
1920;1;144;31;1:20.363;1:19.862;1:19.388;84
1921;2;128;37;1:20.646;1:19.992;1:19.426;84
1922;3;38;24;1:20.447;1:20.101;1:19.595;84
1923;4;103;31;1:20.350;1:19.778;1:19.720;84
1924;5;1;15;1:20.652;1:20.183;1:19.791;84
1925;6;93;24;1:20.867;1:20.243;1:19.851;84
1926;7;68;15;1:21.004;1:20.460;1:19.929;84
1927;8;99;43;1:21.181;1:20.527;1:20.641;84
1928;9;83;30;1:21.612;1:20.545;1:22.398;84
1929;10;124;37;1:21.264;1:20.503;БВ;84
1930;11;117;16;1:21.471;1:20.569;-;84
1931;12;145;39;1:21.028;1:20.580;-;84
1932;13;13;30;1:21.131;1:20.777;-;84
1933;14;27;43;1:21.345;1:21.029;-;84
1934;15;66;48;1:20.816;1:21.133;-;84
1935;16;17;48;1:21.135;1:21.219;-;84
1936;17;39;39;1:21.724;-;-;84
1937;18;98;16;1:22.043;-;-;84
1938;19;87;12;1:23.007;-;-;84
1939;20;31;12;1:23.333;-;-;84
1940;21;24;27;1:23.787;-;-;84
1941;22;149;27;1:23.997;-;-;84
1942;1;144;31;2:00.368;1:49.067;2:01.012;85
